step,north_queue,south_queue,east_queue,west_queue,ns_pressure,ew_pressure,current_direction,phase
638,0,0,2,0,0,2,NS,0
639,0,0,1,0,0,1,NS,0
640,0,0,1,1,0,2,NS,0
641,0,0,1,1,0,2,NS,0
642,0,0,1,2,0,3,NS,0
643,0,0,1,1,0,2,NS,0
644,0,0,1,1,0,2,NS,0
645,0,0,1,1,0,2,NS,0
646,0,0,0,0,0,0,EW,2
647,0,0,0,0,0,0,EW,2
648,1,0,0,0,1,0,EW,2
649,1,2,0,0,3,0,EW,2
650,1,1,0,0,2,0,EW,2
651,1,1,0,0,2,0,EW,2
652,1,1,0,0,2,0,EW,2
653,1,1,0,0,2,0,EW,2
654,1,1,0,0,2,0,EW,2
655,1,1,0,0,2,0,EW,2
656,2,1,0,0,3,0,EW,2
657,2,1,0,0,3,0,EW,2
658,2,1,0,0,3,0,EW,2
659,2,1,0,0,3,0,EW,2
660,3,1,0,0,4,0,EW,2
661,2,1,0,0,3,0,NS,0
662,1,1,0,0,2,0,NS,0
663,0,0,0,0,0,0,NS,0
664,0,0,0,0,0,0,NS,0
665,0,0,0,0,0,0,NS,0
666,0,0,0,0,0,0,NS,0
667,0,0,0,0,0,0,NS,0
668,0,0,0,0,0,0,NS,0
669,0,0,0,0,0,0,NS,0
670,0,0,0,1,0,1,NS,0
671,0,0,1,1,0,2,NS,0
672,0,0,1,2,0,3,NS,0
673,0,0,1,1,0,2,NS,0
674,0,0,1,1,0,2,NS,0
675,0,0,2,1,0,3,NS,0
676,0,0,0,0,0,0,EW,2
677,0,0,0,0,0,0,EW,2
678,0,0,0,0,0,0,EW,2
679,1,0,0,0,1,0,EW,2
680,1,0,0,0,1,0,EW,2
681,1,0,0,0,1,0,EW,2
682,1,0,0,0,1,0,EW,2
683,1,0,0,0,1,0,EW,2
684,1,1,0,0,2,0,EW,2
685,2,1,0,0,3,0,EW,2
686,2,1,0,0,3,0,EW,2
687,2,1,0,0,3,0,EW,2
688,2,1,0,0,3,0,EW,2
689,2,1,0,0,3,0,EW,2
690,2,1,0,0,3,0,EW,2
691,2,1,0,0,3,0,NS,0
692,1,0,1,0,1,1,NS,0
693,0,0,1,0,0,1,NS,0
694,0,0,1,0,0,1,NS,0
695,0,0,1,0,0,1,NS,0
696,0,0,1,0,0,1,NS,0
697,0,0,1,0,0,1,NS,0
698,0,0,2,0,0,2,NS,0
699,0,0,1,0,0,1,NS,0
700,0,0,1,0,0,1,NS,0
701,0,0,1,1,0,2,NS,0
702,0,0,1,2,0,3,NS,0
703,0,0,1,1,0,2,NS,0
704,0,0,1,1,0,2,NS,0
705,0,0,1,1,0,2,NS,0
706,0,0,0,0,0,0,EW,2
707,0,0,0,0,0,0,EW,2
708,0,0,0,0,0,0,EW,2
709,0,0,0,0,0,0,EW,2
710,0,1,0,0,1,0,EW,2
711,1,1,0,0,2,0,EW,2
712,1,1,0,0,2,0,EW,2
713,1,1,0,0,2,0,EW,2
714,2,1,0,0,3,0,EW,2
715,2,1,0,0,3,0,EW,2
716,2,1,0,0,3,0,EW,2
717,2,2,0,0,4,0,EW,2
718,2,2,0,0,4,0,EW,2
719,2,2,0,0,4,0,EW,2
720,2,2,0,0,4,0,EW,2
721,2,1,0,0,3,0,NS,0
722,1,0,0,0,1,0,NS,0
723,1,0,0,0,1,0,NS,0
724,0,0,0,0,0,0,NS,0
725,0,0,0,0,0,0,NS,0
726,0,0,0,0,0,0,NS,0
727,0,0,0,0,0,0,NS,0
728,0,0,0,0,0,0,NS,0
