step,north_queue,south_queue,east_queue,west_queue,emergency_active,phase
454,6,5,0,0,False,2
455,7,5,0,0,False,2
456,7,5,0,0,False,2
457,7,5,0,0,False,2
458,7,5,0,0,False,3
459,7,5,0,0,False,3
460,7,5,0,0,False,3
461,7,4,0,0,False,0
462,6,3,0,1,False,0
463,5,3,0,1,False,0
464,4,2,0,1,False,0
465,3,1,0,2,False,0
466,2,0,0,1,False,0
467,2,0,0,1,False,0
468,1,0,0,1,False,0
469,0,0,1,1,False,0
470,0,0,1,1,False,0
471,0,0,1,1,False,0
472,0,0,1,1,False,0
473,0,0,2,1,False,0
474,0,0,1,1,False,0
475,0,0,1,1,False,0
476,0,0,1,1,False,0
477,0,0,1,3,False,0
478,0,0,1,2,False,0
479,0,0,1,2,False,0
480,0,0,1,2,False,0
481,0,0,1,2,False,0
482,0,0,1,2,False,0
483,0,0,1,2,False,0
484,0,0,1,2,False,0
485,0,0,1,2,False,0
486,0,0,2,2,False,0
487,0,0,3,3,False,0
488,0,0,2,3,False,0
489,0,0,2,4,False,0
490,0,0,2,3,False,0
491,0,0,2,3,False,0
492,0,0,2,3,False,0
493,0,0,2,3,False,0
494,0,0,2,3,False,0
495,0,0,2,3,False,0
496,0,0,2,3,False,0
497,0,0,2,3,False,0
498,0,0,2,3,False,0
499,0,0,3,4,False,0
500,0,0,3,4,False,0
501,0,0,4,5,False,0
502,0,0,3,4,False,0
503,0,0,3,4,False,1
504,0,0,3,4,False,1
505,0,0,3,4,False,1
506,0,0,2,3,False,2
507,0,0,1,2,False,2
508,0,0,0,1,False,2
509,0,0,0,0,False,2
510,1,0,0,0,False,2
511,1,0,0,0,False,2
512,1,1,0,0,False,2
513,1,1,0,0,False,2
514,1,1,0,0,False,2
515,1,1,0,0,False,2
516,1,1,0,0,False,2
517,2,1,0,0,False,2
518,2,1,0,0,False,2
519,2,1,0,0,False,2
520,2,1,0,0,False,2
521,2,1,0,0,False,2
522,2,1,0,0,False,2
523,2,1,0,0,False,2
524,3,2,0,0,False,2
525,3,2,0,0,False,2
526,3,2,0,0,False,2
527,3,3,0,0,False,2
528,3,3,0,0,False,2
529,4,3,0,0,False,2
530,4,3,0,0,False,2
531,4,3,0,0,False,2
532,4,3,0,0,False,2
533,5,3,0,0,False,2
534,5,3,0,0,False,2
535,5,3,0,0,False,2
536,5,3,0,0,False,2
537,5,4,0,0,False,2
538,5,4,0,0,False,2
539,5,4,0,0,False,2
540,6,4,0,0,False,2
541,6,4,0,0,False,2
542,6,4,0,0,False,2
543,6,5,0,0,False,2
544,6,5,0,0,False,2
545,7,5,0,0,False,2
546,7,5,0,0,False,2
547,7,5,0,0,False,2
548,7,5,0,0,False,3
549,7,5,0,0,False,3
550,7,6,0,0,False,3
551,6,5,0,0,False,0
552,6,4,0,0,False,0
553,5,3,0,0,False,0
554,4,2,0,0,False,0
555,3,1,1,0,False,0
556,3,0,1,0,False,0
557,2,0,1,0,False,0
558,1,0,1,0,False,0
559,0,0,2,1,False,0
560,0,0,1,1,False,0
561,0,0,1,2,False,0
562,0,0,1,1,False,0
563,0,0,1,1,False,0
564,0,0,1,1,False,0
565,0,0,1,1,False,0
566,0,0,1,1,False,0
567,0,0,1,1,False,0
568,0,0,1,1,False,0
569,0,0,1,1,False,0
570,0,0,1,1,False,0
571,0,0,1,1,False,0
572,0,0,2,1,False,0
573,0,0,3,3,False,0
574,0,0,2,2,False,0
575,0,0,2,2,False,0
576,0,0,2,2,False,0
577,0,0,2,2,False,0
578,0,0,2,2,False,0
579,0,0,2,2,False,0
